topo_order	cluster	cxx_symbol	cxx_file_line	est_cj_loc	selfhost_dependencies	schema_output	le_40	implementation_note
010	id	CHIRSerializerImpl::GetId<T,E>(vector<E*>)	src/CHIR/Serializer/CHIRSerializer.cpp:42-50	9	identity-preserving GetId<T>; ArrayList	uint32 ID vector	yes	Pointer identity is a hard prerequisite, not value equality.
011	id	CHIRSerializerImpl::GetId<T,E>(vector<Ptr<E>>)	src/CHIR/Serializer/CHIRSerializer.cpp:52-61	10	identity-preserving GetId<T>; ArrayList	uint32 ID vector	yes	Same order as input vector.
012	id	CHIRSerializerImpl::GetId<T,E>(unordered_set<E*>)	src/CHIR/Serializer/CHIRSerializer.cpp:63-72	10	identity-preserving GetId<T>; HashSet	uint32 ID vector	yes	Preserves C++ unordered-set iteration behavior; do not sort unless C++ changes.
020	id	CHIRSerializerImpl::GetId(Value*)	src/CHIR/Serializer/CHIRSerializer.cpp:74-83	10	identity map; valueQueue; allValue/valueKind	Value pool ID	yes	0 is null; first sight allocates 1-based ID, placeholder, tag, and deque entry.
021	id	CHIRSerializerImpl::GetId(Type*)	src/CHIR/Serializer/CHIRSerializer.cpp:85-94	10	identity map; typeQueue; allType/typeKind	Type pool ID	yes	0 is null; first sight enqueues.
022	id	CHIRSerializerImpl::GetId(Expression*)	src/CHIR/Serializer/CHIRSerializer.cpp:96-105	10	identity map; exprQueue; allExpression/exprKind	Expression pool ID	yes	0 is null; first sight enqueues.
023	id	CHIRSerializerImpl::GetId(CustomTypeDef*)	src/CHIR/Serializer/CHIRSerializer.cpp:107-116	10	identity map; defQueue; allCustomTypeDef/defKind	Def pool ID	yes	0 is null; first sight enqueues on deque.
030	fb_helpers	CHIRSerializerImpl::SerializeSetToVec<FBT,T>	src/CHIR/Serializer/CHIRSerializer.cpp:119-128	10	generated Create* bindings; FlatBufferOffset	offset vector	yes	Serializes set iteration order without sorting.
031	fb_helpers	CHIRSerializerImpl::SerializeVec<FBT,T>	src/CHIR/Serializer/CHIRSerializer.cpp:130-138	9	generated Create* bindings; FlatBufferOffset	offset vector	yes	Serializes source vector order.
040	core	CHIRSerializerImpl::Serialize(DebugLocation)	src/CHIR/Serializer/CHIRSerializer.cpp:140-149	10	FlatBufferBuilder; CreatePos; CreateDebugLocation	Pos; DebugLocation	yes	Build beginPos, endPos, then DebugLocation(filePath,fileId,beginPos,endPos,scope).
041	core	CHIRSerializerImpl::Serialize(AnnoInfo)	src/CHIR/Serializer/CHIRSerializer.cpp:151-166	16	Serialize(DebugLocation); shared strings; offset vectors	CustomAnnoInstance; AnnoInfo	yes	Each instance creates shared arg strings and loc; empty vectors become null.
042	core	Empty(Annotation*)	src/CHIR/Serializer/CHIRSerializer.cpp:168-170	3	Annotation	none	yes	Intentional no-op for omitted AnnoFactoryInfo and bodyless WrappedRawMethod.
043	core	CHIRSerializerImpl::Serialize(Base)	src/CHIR/Serializer/CHIRSerializer.cpp:172-303	132	typed annotation map; LinkTypeInfo; GetId; Serialize(DebugLocation); 13 annotation Create* APIs	Base and 13 Annotation union tables	no	Must port all handlers, WrappedRawMethod body branch, optional -1 sentinels, unknown-annotation abort, loc and raw attributes.
044	core	CHIRSerializerImpl::Serialize(MemberVarInfo)	src/CHIR/Serializer/CHIRSerializer.cpp:308-322	15	GetId(Type/Value/Def); Serialize(DebugLocation/AnnoInfo)	MemberVarInfo	yes	Schema argument order is name,rawMangledName,type,attributes,loc,annoInfo,initializerFunc,outerDef.
045	core	CHIRSerializerImpl::Serialize(EnumCtorInfo)	src/CHIR/Serializer/CHIRSerializer.cpp:324-329	6	GetId(Type); shared strings	EnumCtorInfo	yes	C++ passes only name,mangledName,funcType; schema annoInfo remains absent/default.
050	type	CHIRSerializerImpl::Serialize(Type)	src/CHIR/Serializer/CHIRSerializer.cpp:333-338	6	GetId(Type vector); CHIR type enum constants	Type	yes	Fields kind,argTys.
051	type	CHIRSerializerImpl::Serialize(RawArrayType)	src/CHIR/Serializer/CHIRSerializer.cpp:340-346	7	Serialize(Type)	RawArrayType	yes	Fields base,dims.
052	type	CHIRSerializerImpl::Serialize(VArrayType)	src/CHIR/Serializer/CHIRSerializer.cpp:348-354	7	Serialize(Type)	VArrayType	yes	Fields base,size.
053	type	CHIRSerializerImpl::Serialize(FuncType)	src/CHIR/Serializer/CHIRSerializer.cpp:356-363	8	Serialize(Type)	FuncType	yes	Fields base,isCFuncType,hasVarArg.
054	type	CHIRSerializerImpl::Serialize(CustomType)	src/CHIR/Serializer/CHIRSerializer.cpp:365-371	7	Serialize(Type); GetId(CustomTypeDef)	CustomType	yes	Fields base,customTypeDef.
055	type	CHIRSerializerImpl::Serialize(GenericType)	src/CHIR/Serializer/CHIRSerializer.cpp:373-382	10	Serialize(Type); GetId(Type vector); shared strings	GenericType	yes	Fields base,identifier,srcCodeIdentifier,upperBounds.
060	value	CHIRSerializerImpl::Serialize(Value)	src/CHIR/Serializer/CHIRSerializer.cpp:385-419	35	Serialize(Base); GetId(Type); ValueKind mapping	Value	yes	Seven explicit ValueKind cases plus abort default; importedness is an attribute.
061	value	CHIRSerializerImpl::Serialize(Parameter)	src/CHIR/Serializer/CHIRSerializer.cpp:421-431	11	Serialize(Value/AnnoInfo); GetId(Value/Expression)	Parameter	yes	Fields base,ownedFunc,ownedLambda,srcCodeIdentifier,annoInfo.
062	value	CHIRSerializerImpl::Serialize(LocalVar)	src/CHIR/Serializer/CHIRSerializer.cpp:433-441	9	Serialize(Value); GetId(Expression)	LocalVar	yes	Fields base,associatedExpr,isRetVal,srcCodeIdentifier.
063	value	CHIRSerializerImpl::Serialize(GlobalValue)	src/CHIR/Serializer/CHIRSerializer.cpp:443-456	14	Serialize(Value/AnnoInfo); GetId(Def); shared strings	GlobalValue	yes	Conditional declaredParent; features preserve set iteration order.
064	value	CHIRSerializerImpl::Serialize(GlobalVar)	src/CHIR/Serializer/CHIRSerializer.cpp:458-464	7	Serialize(GlobalValue); GetId(Value)	GlobalVar	yes	Initializer is 0 when absent.
065	value	CHIRSerializerImpl::Serialize(Block)	src/CHIR/Serializer/CHIRSerializer.cpp:466-476	11	Serialize(Value); GetId(Value/Expression/Type vectors)	Block	yes	Exception types emitted only for landing-pad blocks.
066	value	CHIRSerializerImpl::Serialize(BlockGroup)	src/CHIR/Serializer/CHIRSerializer.cpp:478-489	12	Serialize(Value); GetId(Value/Expression)	BlockGroup	yes	Assert owner func or owner expression; fields keep schema order.
067	value	CHIRSerializerImpl::Serialize(Function)	src/CHIR/Serializer/CHIRSerializer.cpp:491-528	38	Serialize(GlobalValue/DebugLocation); GetId(Type/Value); FuncSigInfo creator	Function; FuncSigInfo	yes	GenericDecl only when body exists; originalLambdaInfo only for typed lambda; body/ret only for body functions.
068	literal	CHIRSerializerImpl::Serialize(LiteralValue)	src/CHIR/Serializer/CHIRSerializer.cpp:530-536	7	Serialize(Value); ConstantValueKind	LiteralValue	yes	Fields base,literalKind.
069	literal	CHIRSerializerImpl::Serialize(BoolLiteral)	src/CHIR/Serializer/CHIRSerializer.cpp:539-545	7	Serialize(LiteralValue)	BoolLiteral	yes	Fields base,val.
070	literal	CHIRSerializerImpl::Serialize(RuneLiteral)	src/CHIR/Serializer/CHIRSerializer.cpp:547-553	7	Serialize(LiteralValue)	RuneLiteral	yes	Fields base,val uint32.
071	literal	CHIRSerializerImpl::Serialize(StringLiteral)	src/CHIR/Serializer/CHIRSerializer.cpp:555-562	8	Serialize(LiteralValue); CreateSharedString	StringLiteral	yes	String is explicitly shared/deduplicated.
072	literal	CHIRSerializerImpl::Serialize(IntLiteral)	src/CHIR/Serializer/CHIRSerializer.cpp:564-570	7	Serialize(LiteralValue)	IntLiteral	yes	Uses GetUnsignedVal into uint64.
073	literal	CHIRSerializerImpl::Serialize(FloatLiteral)	src/CHIR/Serializer/CHIRSerializer.cpp:572-578	7	Serialize(LiteralValue); Float64 table scalar support	FloatLiteral	yes	Schema default is 1.0, not 0.0.
074	literal	CHIRSerializerImpl::Serialize(UnitLiteral)	src/CHIR/Serializer/CHIRSerializer.cpp:580-585	6	Serialize(LiteralValue)	UnitLiteral	yes	Base only.
075	literal	CHIRSerializerImpl::Serialize(NullLiteral)	src/CHIR/Serializer/CHIRSerializer.cpp:587-592	6	Serialize(LiteralValue)	NullLiteral	yes	Base only.
080	expression	ToPackageExprKind(Expression)	src/CHIR/Serializer/CHIRSerializer.cpp:596-690	95	ExprKind/IntOpWithException; CHIR expr enum constants	CHIRExprKind tag	no	Full mapping includes nested 10-way integer-op switch and invalid mapping for FORIN/INVALID/MAX/default.
081	expression	CHIRSerializerImpl::Serialize(Expression)	src/CHIR/Serializer/CHIRSerializer.cpp:692-705	14	Serialize(Base); ToPackageExprKind; GetId(Value/Type)	Expression	yes	Fields base,kind,operands,blockGroups,owner,resultLocalVar,resultTy.
082	expression	CHIRSerializerImpl::Serialize(UnaryExpression)	src/CHIR/Serializer/CHIRSerializer.cpp:707-714	8	Serialize(Expression); OverflowStrategy	UnaryExpressionBase	yes	Fields base,overflowStrategy.
083	expression	CHIRSerializerImpl::Serialize(IntOpWithException)->UnaryExpressionBase	src/CHIR/Serializer/CHIRSerializer.cpp:716-723	8	Serialize(Expression); OverflowStrategy	UnaryExpressionBase	yes	Selected by major-kind branch in expression Dispatch.
084	expression	CHIRSerializerImpl::Serialize(BinaryExpression)	src/CHIR/Serializer/CHIRSerializer.cpp:725-732	8	Serialize(Expression); OverflowStrategy	BinaryExpressionBase	yes	Fields base,overflowStrategy.
085	expression	CHIRSerializerImpl::Serialize(IntOpWithException)->BinaryExpressionBase	src/CHIR/Serializer/CHIRSerializer.cpp:734-741	8	Serialize(Expression); OverflowStrategy	BinaryExpressionBase	yes	Selected by major-kind branch in expression Dispatch.
086	expression	CHIRSerializerImpl::Serialize(Allocate)	src/CHIR/Serializer/CHIRSerializer.cpp:743-749	7	Serialize(Expression); GetId(Type)	AllocateBase	yes	Fields base,allocatedType.
087	expression	CHIRSerializerImpl::Serialize(AllocateWithException)	src/CHIR/Serializer/CHIRSerializer.cpp:751-758	8	Serialize(Expression); GetId(Type)	AllocateBase	yes	Same table, distinct source kind/tag.
088	expression	CHIRSerializerImpl::Serialize(GetElementRef)	src/CHIR/Serializer/CHIRSerializer.cpp:760-767	8	Serialize(Expression); vector<uint64>	GetElementRef	yes	Empty path becomes null.
089	expression	CHIRSerializerImpl::Serialize(GetElementByName)	src/CHIR/Serializer/CHIRSerializer.cpp:769-776	8	Serialize(Expression); vector of strings	GetElementByName	yes	CreateVectorOfStrings is non-shared in C++.
090	expression	CHIRSerializerImpl::Serialize(StoreElementRef)	src/CHIR/Serializer/CHIRSerializer.cpp:778-785	8	Serialize(Expression); vector<uint64>	StoreElementRef	yes	C++ always passes &path, including empty vector.
091	expression	CHIRSerializerImpl::Serialize(StoreElementByName)	src/CHIR/Serializer/CHIRSerializer.cpp:787-794	8	Serialize(Expression); vector of strings	StoreElementByName	yes	Fields base,fieldNames.
092	expression	CHIRSerializerImpl::Serialize(Apply)	src/CHIR/Serializer/CHIRSerializer.cpp:796-810	15	Serialize(Expression); GetId(Type); FuncCall creator	FuncCall; ApplyBase	yes	Build Expression then FuncCall then ApplyBase; preserves isSuperCall.
093	expression	CHIRSerializerImpl::Serialize(ApplyWithException)	src/CHIR/Serializer/CHIRSerializer.cpp:812-827	16	Serialize(Expression); GetId(Type); FuncCall creator	FuncCall; ApplyBase	yes	Same three layers; isSuperCall is forced false.
094	expression	CHIRSerializerImpl::Serialize(FuncSigInfo)	src/CHIR/Serializer/CHIRSerializer.cpp:829-835	7	GetId(Type); shared string	FuncSigInfo	yes	Fields funcName,funcType,genericTypeParams.
095	expression	CHIRSerializerImpl::Serialize(Invoke)	src/CHIR/Serializer/CHIRSerializer.cpp:837-854	18	Serialize(Expression/FuncSigInfo); GetId(Type); FuncCall creator	FuncCall; InvokeBase	yes	Four-stage order: Expression, FuncCall, virMethodCtx, InvokeBase.
096	expression	CHIRSerializerImpl::Serialize(InvokeWithException)	src/CHIR/Serializer/CHIRSerializer.cpp:856-874	19	Serialize(Expression/FuncSigInfo); GetId(Type); FuncCall creator	FuncCall; InvokeBase	yes	Same layout as Invoke.
097	expression	CHIRSerializerImpl::Serialize(InvokeStatic)	src/CHIR/Serializer/CHIRSerializer.cpp:876-893	18	Serialize(Expression/FuncSigInfo); GetId(Type); FuncCall creator	FuncCall; InvokeBase	yes	Same layout as Invoke.
098	expression	CHIRSerializerImpl::Serialize(InvokeStaticWithException)	src/CHIR/Serializer/CHIRSerializer.cpp:895-913	19	Serialize(Expression/FuncSigInfo); GetId(Type); FuncCall creator	FuncCall; InvokeBase	yes	Same layout as Invoke.
099	expression	CHIRSerializerImpl::Serialize(TypeCast)	src/CHIR/Serializer/CHIRSerializer.cpp:915-921	7	Serialize(Expression); OverflowStrategy	NumericCastBase	yes	Fields base,overflowStrategy.
100	expression	CHIRSerializerImpl::Serialize(TypeCastWithException)	src/CHIR/Serializer/CHIRSerializer.cpp:923-930	8	Serialize(Expression); OverflowStrategy	NumericCastBase	yes	Same table, distinct source tag.
101	expression	CHIRSerializerImpl::Serialize(InstanceOf)	src/CHIR/Serializer/CHIRSerializer.cpp:932-938	7	Serialize(Expression); GetId(Type)	InstanceOf	yes	Fields base,targetType.
102	expression	CHIRSerializerImpl::Serialize(Branch)	src/CHIR/Serializer/CHIRSerializer.cpp:940-946	7	Serialize(Expression); SourceExpr constants	Branch	yes	Fields base,sourceExpr.
103	expression	CHIRSerializerImpl::Serialize(MultiBranch)	src/CHIR/Serializer/CHIRSerializer.cpp:948-954	7	Serialize(Expression); vector<uint64>	MultiBranch	yes	Empty cases become null.
104	expression	CHIRSerializerImpl::Serialize(GetInstantiateValue)	src/CHIR/Serializer/CHIRSerializer.cpp:956-964	9	Serialize(Expression); GetId(Type vector)	GetInstantiateValue	yes	Fields base,instantiateTypes.
105	expression	CHIRSerializerImpl::Serialize(GetRTTIStatic)	src/CHIR/Serializer/CHIRSerializer.cpp:966-973	8	Serialize(Expression); GetId(Type)	GetRTTIStatic	yes	Fields base,rttiType.
106	expression	CHIRSerializerImpl::Serialize(Field)	src/CHIR/Serializer/CHIRSerializer.cpp:975-981	7	Serialize(Expression); vector<uint64>	Field	yes	Empty path becomes null.
107	expression	CHIRSerializerImpl::Serialize(FieldByName)	src/CHIR/Serializer/CHIRSerializer.cpp:983-990	8	Serialize(Expression); vector of strings	FieldByName	yes	Fields base,fieldNames.
108	expression	CHIRSerializerImpl::Serialize(RawArrayAllocate)	src/CHIR/Serializer/CHIRSerializer.cpp:992-999	8	Serialize(Expression); GetId(Type)	RawArrayAllocateBase	yes	Fields base,elementType.
109	expression	CHIRSerializerImpl::Serialize(RawArrayAllocateWithException)	src/CHIR/Serializer/CHIRSerializer.cpp:1001-1008	8	Serialize(Expression); GetId(Type)	RawArrayAllocateBase	yes	Same table, distinct source tag.
110	expression	CHIRSerializerImpl::Serialize(Intrinsic)	src/CHIR/Serializer/CHIRSerializer.cpp:1010-1024	15	Serialize(Expression); GetId(Type); FuncCall creator	FuncCall; IntrinsicBase	yes	objType is forced 0; then intrinsicKind.
111	expression	CHIRSerializerImpl::Serialize(IntrinsicWithException)	src/CHIR/Serializer/CHIRSerializer.cpp:1026-1041	16	Serialize(Expression); GetId(Type); FuncCall creator	FuncCall; IntrinsicBase	yes	Same layout as Intrinsic.
112	expression	CHIRSerializerImpl::Serialize(Debug)	src/CHIR/Serializer/CHIRSerializer.cpp:1043-1050	8	Serialize(Expression); shared string	Debug	yes	Asserts operands non-empty; writes srcCodeIdentifier into schema srcCodeName.
113	expression	CHIRSerializerImpl::Serialize(Spawn)	src/CHIR/Serializer/CHIRSerializer.cpp:1052-1058	7	Serialize(Expression); GetId(Value)	SpawnBase	yes	Fields base,executeClosure.
114	expression	CHIRSerializerImpl::Serialize(SpawnWithException)	src/CHIR/Serializer/CHIRSerializer.cpp:1060-1067	8	Serialize(Expression); GetId(Value)	SpawnBase	yes	Same layout as Spawn.
115	expression	CHIRSerializerImpl::Serialize(Lambda)	src/CHIR/Serializer/CHIRSerializer.cpp:1069-1087	19	Serialize(Expression); GetId(Type/Value); shared strings	Lambda	yes	Asserts one block group and body; writes all ten fields in schema order.
120	def	CHIRSerializerImpl::Serialize(VirtualMethodInfo)	src/CHIR/Serializer/CHIRSerializer.cpp:1090-1108	19	GetId(Type/Value); attributes; shared string	VirtualMethodInfo	yes	Condition fields then result fields, exactly eight schema fields.
121	def	CHIRSerializerImpl::SerializeVTable(VTableInDef)	src/CHIR/Serializer/CHIRSerializer.cpp:1110-1120	11	SerializeVec(VirtualMethodInfo); GetId(Type)	VTableInType vector	yes	Preserves GetTypeVTables order.
122	def	CHIRSerializerImpl::Serialize(CustomTypeDef)	src/CHIR/Serializer/CHIRSerializer.cpp:1122-1147	26	Serialize(Base/AnnoInfo/MemberVarInfo); SerializeVTable; GetId(Type/Value/Def)	CustomTypeDef	yes	Class uses direct instance vars; other kinds use all instance vars; emits all 15 fields.
123	def	CHIRSerializerImpl::Serialize(EnumDef)	src/CHIR/Serializer/CHIRSerializer.cpp:1149-1156	8	Serialize(CustomTypeDef/EnumCtorInfo)	EnumDef	yes	Writes nonExhaustive as !IsExhaustive().
124	def	CHIRSerializerImpl::Serialize(StructDef)	src/CHIR/Serializer/CHIRSerializer.cpp:1158-1164	7	Serialize(CustomTypeDef)	StructDef	yes	Fields base,isCStruct.
125	def	CHIRSerializerImpl::Serialize(ClassDef)	src/CHIR/Serializer/CHIRSerializer.cpp:1166-1179	14	Serialize(CustomTypeDef); GetId(Value/Type)	ClassDef	yes	annotationTargets vector exists only when IsAnnotation().
126	def	CHIRSerializerImpl::Serialize(ExtendDef)	src/CHIR/Serializer/CHIRSerializer.cpp:1181-1189	9	Serialize(CustomTypeDef); GetId(Type)	ExtendDef	yes	Fields base,extendedType,genericParams.
130	dispatch	CHIRSerializerImpl::Dispatch(Type)	src/CHIR/Serializer/CHIRSerializer.cpp:1193-1243	51	typeKind; all six type serializers; union tags	TypeElem union	no	32 TypeKind cases collapse to six table variants plus abort default.
131	dispatch	CHIRSerializerImpl::Dispatch(LiteralValue)	src/CHIR/Serializer/CHIRSerializer.cpp:1245-1275	31	valueKind; seven literal serializers	ValueElem union	yes	KIND_FUNC deliberately returns 0 without setting a tag; default aborts.
132	dispatch	CHIRSerializerImpl::Dispatch(Value)	src/CHIR/Serializer/CHIRSerializer.cpp:1277-1304	28	valueKind; literal/value serializers	ValueElem union	yes	Seven ValueKind cases plus abort default.
133	dispatch	CHIRSerializerImpl::Dispatch(Expression)	src/CHIR/Serializer/CHIRSerializer.cpp:1306-1461	156	exprKind; all expression serializers; ExprKindMgr	ExpressionElem union	no	Must port every listed case, the unary/binary INT_OP branch, generic Expression bucket, and invalid aborts.
134	dispatch	CHIRSerializerImpl::Dispatch(CustomTypeDef)	src/CHIR/Serializer/CHIRSerializer.cpp:1463-1482	20	defKind; four def serializers	CustomTypeDefElem union	yes	Four CustomDefKind cases plus abort default.
135	dispatch	CHIRSerializerImpl::Dispatch()	src/CHIR/Serializer/CHIRSerializer.cpp:1484-1510	27	four queues; four pool containers; all typed Dispatch functions	all four root pools	yes	Fixed-point drain order is type, value, expression, def; repeat until all empty; package init IDs assigned afterward.
140	output	CHIRSerializerImpl::Save(filename,phase)	src/CHIR/Serializer/CHIRSerializer.cpp:1514-1530	17	FlatBufferBuilder; CHIRPackage generated writer; binary file API	CHIRPackage/root buffer	yes	Create root in schema order, Finish without identifier or size prefix, then write exact buffer bytes.
141	state	CHIRSerializerImpl::Initialize()	src/CHIR/Serializer/CHIRSerializer.cpp:1532-1557	26	Package getters; four queues/maps/pools	initial Value/Def IDs	yes	Seed globals then functions then defs; preallocate all def IDs, then all initial value IDs.
142	entry	CHIRSerializer::Serialize(Package,filename,phase)	src/CHIR/Serializer/CHIRSerializer.cpp:31-38	8	CHIRSerializerImpl; ProfileRecorder/PhaseToString	root orchestration	yes	Call Initialize then Dispatch then Save in this exact order.
